model,peak_epoch_d,anchor,has_H,M_csm,M_ej,M_csm_over_Mej,E_SN,R_prog,f_Hrich,f_Herich,L_Halpha,L_Hbeta,L_Hgamma,EW_Halpha,Halpha_Hbeta,Halpha_Hgamma,L_Balmer_tot,L_He1,He1_He2,L_He_tot,he1_line,he2_line
A13,50.0,Halpha,True,0.5,16.4,0.030487804878048783,1.2,603.0,1.0,0.0,3.2624930802525786e+41,1.0974901622430953e+41,5.18720252867658e+40,-867.6541549969087,2.972685489576109,6.289503951728186,4.878703495363332e+41,1.9631585598111414e+40,2.609499063767035,3.137444894685475e+40,He_I_5876,He_I_7065
A14,60.0,Halpha,True,1.0,16.4,0.06097560975609757,1.2,603.0,1.0,0.0,9.767134706812866e+41,3.29547058404555e+41,1.5567580866119713e+41,-1941.0517077247068,2.963805762399688,6.274022143073901,1.4619363377470388e+42,3.363652705948784e+40,2.9191208489062976,4.905021577512234e+40,He_I_5876,He_I_7065
A15,80.0,Halpha,True,2.0,16.4,0.12195121951219513,1.2,603.0,1.0,0.0,5.649866135444541e+41,1.9116695118245503e+41,9.026106706714196e+40,-1028.8397675060337,2.9554617576403945,6.2594719063556035,8.46414631794051e+41,7.294914269131416e+40,2.6370450548599584,1.0790664519675706e+41,He_I_5876,He_I_7065
B1,70.0,Halpha,True,0.0,10.2,0.0,0.28,525.0,0.0,0.0,3.243690656306189e+41,1.0936334513282464e+41,5.166924288987293e+40,0.2893413007505039,2.965976079431954,6.2777979217147495,4.854016536533165e+41,7.349753098907258e+38,1.1299197563692067,1.875879445239896e+39,He_I_5876,He_I_7065
B4,110.0,Halpha,True,0.2,10.2,0.019607843137254905,0.28,525.0,1.0,0.0,8.160467972714873e+41,2.748928734035053e+41,1.298947478502098e+41,-15766.935342924338,2.9685993207748305,6.282369462794021,1.2208344185252023e+42,6.521049136870825e+38,2.0489195103434112,1.3910861179748122e+39,He_I_5876,He_I_7065
B5,100.0,Halpha,True,0.5,10.2,0.04901960784313726,0.28,525.0,1.0,0.0,7.012748373267632e+41,2.359597730807111e+41,1.1152034222888455e+41,-9697.489827736927,2.9720101361806655,6.28831317507496,1.0487549526363589e+42,7.616819965570911e+38,2.1232180332759008,1.550858632977233e+39,He_I_5876,He_I_7065
B6,100.0,Halpha,True,1.0,10.2,0.09803921568627452,0.28,525.0,1.0,0.0,6.609400397035429e+41,2.2229601164039298e+41,1.0507020153301012e+41,-8928.669485717313,2.9732429062773376,6.290461330236376,9.883062528769459e+41,1.1776211119802265e+39,2.2501547872320518,2.2389300216052428e+39,He_I_5876,He_I_7065
B7,100.0,Halpha,True,2.0,10.2,0.19607843137254904,0.28,525.0,1.0,0.0,4.826552297251266e+41,1.6215423166476096e+41,7.6658550228702735e+40,-8299.556857802678,2.9765194825317427,6.296169550365555,7.214680116185903e+41,2.892238487659843e+39,3.8990850148496294,4.78064488858795e+39,He_I_5876,He_I_6678
B8,100.0,Halpha,True,0.2,10.2,0.019607843137254905,0.5,525.0,1.0,0.0,3.705703949063348e+41,1.2465480195706151e+41,5.8917539094740555e+40,-1144.7548456945872,2.9727727218561633,6.289644825634186,5.541427359581369e+41,9.760001991550396e+38,2.0842173099250063,2.0353551475618154e+39,He_I_5876,He_I_7065
B9,40.0,Halpha,True,0.5,10.2,0.04901960784313726,0.5,525.0,1.0,0.0,5.164061403711531e+41,1.7390954395814909e+41,8.218101510054674e+40,-1737.8873727463924,2.969395058016051,6.283764440477415,7.724966994298489e+41,1.4717976201081207e+40,2.9544293475293655,2.107475657236817e+40,He_I_5876,He_I_7065
B10,100.0,Halpha,True,1.0,10.2,0.09803921568627452,0.5,525.0,1.0,0.0,2.09059337966532e+41,7.015029755934099e+40,3.3170751953008106e+40,-3223.104588880019,2.9801632386475077,6.302520312554245,3.123803874788811e+41,2.1239153286988743e+39,2.359975543725136,3.850938796169538e+39,He_I_5876,He_I_7065
B11,70.0,Halpha,True,2.0,10.2,0.19607843137254904,0.5,525.0,1.0,0.0,3.0980987915657474e+41,1.0345513024664941e+41,4.896085787111018e+40,-1598.1934292918795,2.994630410477962,6.3277052859684675,4.622258672743343e+41,2.7038555894461045e+40,2.8444857000831454,3.9129017701219857e+40,He_I_5876,He_I_7065
B12,30.0,Halpha,True,0.2,10.2,0.019607843137254905,1.0,525.0,1.0,0.0,3.981944530680519e+41,1.3521212854316642e+41,6.380146647798149e+40,-1347.7577291856906,2.944961057549867,6.241148911608054,5.9720804808919984e+41,1.9138695074301688e+40,2.7131981744458664,3.0047712342595766e+40,He_I_5876,He_I_7065
B13,50.0,Halpha,True,0.5,10.2,0.04901960784313726,1.0,525.0,1.0,0.0,3.3228688119112656e+41,1.1182836528010332e+41,5.285078107309578e+40,-906.8434123170346,2.9714006849588417,6.28726528623208,4.969660275443257e+41,2.3271016378063324e+40,2.5682388776108827,3.743804816629096e+40,He_I_5876,He_I_7065
B14,60.0,Halpha,True,1.0,10.2,0.09803921568627452,1.0,525.0,1.0,0.0,8.957991371561851e+41,3.020897373900529e+41,1.4271816615545328e+41,-1787.4149815777794,2.9653411760875055,6.2767001656989585,1.3406070407016913e+42,3.5219471463959856e+40,2.929142021821704,5.093929440400369e+40,He_I_5876,He_I_7065
B15,80.0,Halpha,True,2.0,10.2,0.19607843137254904,1.0,525.0,1.0,0.0,8.524693383651836e+41,2.8603599039936048e+41,1.3525344359542595e+41,-1557.7541223717863,2.9802869812815334,6.302755151396476,1.27375877235997e+42,3.983325237771708e+40,2.9393153878197738,5.66167943527255e+40,He_I_5876,He_I_7065
C1,0.2,He_I_5876,False,0.0,2.0,0.0,0.8,7.24,0.0,0.0,4.658144082910485e+25,1.7135521395245653e+25,7.972189697999921e+24,-3.920240595988648e-13,2.7184139749625085,5.842992025238849,7.168915192235042e+25,2.5046907801279364e+40,5.353104855930288,4.2807647823818334e+40,He_I_5876,He_I_7065
C4,3.0,He_I_6678,False,0.2,2.0,0.1,0.8,7.24,1.0,1.0,1.5302572411237248e+27,5.528373563103044e+26,2.5802540558906223e+26,-2.473689516697384e-06,2.7680062203770475,5.930645618520415,2.3411200030230915e+27,9.516877039267254e+40,1.6207733414632435,1.6979946996631468e+41,He_I_6678,He_I_5876
C5,0.1,He_I_6678,False,0.4,2.0,0.2,0.8,7.24,1.0,1.0,9.85145035416675e+26,3.535113780390669e+26,1.6519049805895774e+26,3.136696603629935e-14,2.7867420870052038,5.963690690399573,1.5038469115146997e+27,1.9170280614459424e+40,0.8777000301981368,4.903160561751873e+40,He_I_6678,He_I_5876
C6,0.2,He_I_5876,False,1.0,2.0,0.5,0.8,7.24,1.0,1.0,2.1183482348761484e+27,7.697481200122166e+26,3.5889520241031194e+26,1.0790331859836605e-13,2.7520018299525413,5.902414467090917,3.246991557298677e+27,7.328155794745526e+40,1.945263012239232,1.751247015870672e+41,He_I_5876,He_I_6678
C7,3.0,He_I_5876,False,2.0,2.0,1.0,0.8,7.24,1.0,1.0,3.825553180121029e+27,1.404751947864039e+27,6.53754684943751e+26,1.244753673755195e-13,2.7232944477762637,5.851664650709431,5.884059812928819e+27,8.711068371232497e+40,1.4996029315158068,2.6273349458595067e+41,He_I_5876,He_I_6678
C8,2.0,He_I_6678,False,0.2,2.0,0.1,0.95,7.24,1.0,1.0,1.1248722579688412e+27,4.0834167968397556e+26,1.9042318180761432e+26,6.3523318468097295e-06,2.754732896331827,5.907223308059764,1.723637119460431e+27,1.2534287147730913e+41,2.5604822681512127,1.8888556555162134e+41,He_I_6678,He_I_5876
C9,6.0,He_I_5876,False,0.4,2.0,0.2,0.95,7.24,1.0,1.0,1.1986914250423419e+27,4.290290884741937e+26,2.005700866709528e+26,7.859395635306597e-07,2.7939630604194887,5.976421733360802,1.8282906001874884e+27,9.706778804563408e+40,1.1675801745282781,1.9595531004269226e+41,He_I_5876,He_I_6678
C10,0.1,He_I_5876,False,1.0,2.0,0.5,0.95,7.24,1.0,1.0,1.8997362069167377e+27,6.932828183490711e+26,3.2299850413206334e+26,9.194745041260179e-14,2.7402037907713037,5.881563482845106,2.9160175293978724e+27,8.767836647188633e+40,1.8702309395865206,2.551626606478157e+41,He_I_5876,He_I_6678
C11,3.0,He_I_5876,False,2.0,2.0,1.0,0.95,7.24,1.0,1.0,3.7589215340207995e+27,1.3804581165631692e+27,6.424343925894668e+26,1.219719094497213e-13,2.7229522496337126,5.851058998989261,5.781814043173435e+27,8.700962433967539e+40,1.5051610661622918,2.6343113367501455e+41,He_I_5876,He_I_6678
C12,0.6,He_I_5876,False,0.2,2.0,0.1,1.5,7.24,1.0,1.0,3.692719930217951e+26,1.3549470637899596e+26,6.306603776762739e+25,6.556740998129733e-07,2.7253610335808567,5.855322549078027,5.678327371684184e+26,3.33155802403214e+41,0.3475324447202109,1.3853732743892285e+42,He_I_5876,He_I_6678
C13,8.0,He_I_5876,False,0.4,2.0,0.2,1.5,7.24,1.0,1.0,6.599372962829599e+27,2.3649238436213465e+27,1.105360564601723e+27,-1.0109872652368862e-05,2.7905224012305405,5.9703350871825664,1.006965737105267e+28,2.833097405404624e+41,2.5051949009171746,4.204186994360458e+41,He_I_5876,He_I_6678
C14,3.0,He_I_6678,False,1.0,2.0,0.5,1.5,7.24,1.0,1.0,1.613948478957325e+27,5.907888010459102e+26,2.750989555571062e+26,-9.153813274467739e-07,2.731853542416599,5.866792462693646,2.4798362355603417e+27,2.4935840621137268e+41,1.2334567576246787,5.349932879209779e+41,He_I_6678,He_I_5876
C15,20.0,He_I_5876,False,2.0,2.0,1.0,1.5,7.24,1.0,1.0,3.2715907538686057e+27,1.1858306528416055e+27,5.531393725233449e+26,9.769856883074771e-14,2.7589021636680533,5.914586660038434,5.010560779233556e+27,2.101880190628163e+41,1.3425457580303877,4.353873454555178e+41,He_I_5876,He_I_6678
