model,epoch_d,rank,line,species,L_line,EW,tau,frac_epoch
A1,40.0,7,He_I_5876,He,1.903541608116662e+39,9.298431658582542,0.001562837475710262,0.01409334546166372
A1,40.0,8,He_I_7065,He,1.543757661624764e+39,9.919785167466465,0.00021255584971820456,0.011429595203802115
A1,40.0,9,He_I_6678,He,8.887320726864128e+38,6.852273373071239,2.0585689550514557e-07,0.006579949747262061
A1,40.0,10,O_I_6300,metal,4.745876323742252e+37,-0.4943062437987248,0.0,0.00035137280038236485
A1,40.0,11,O_I_7774,metal,3.788668596724743e+37,-0.5378177585225793,0.0,0.00028050353691100457
A1,40.0,12,C_II_4267,metal,3.608123761025414e+28,-3.305520909841196e-10,0.0,2.671364493202719e-13
A1,40.0,13,C_III_1909,metal,7.046542548868498e+27,-1.1447951039569857e-09,0.0,5.2170836732994484e-14
A1,40.0,14,C_II_6580,metal,6.685134211157379e+27,-7.338059905540471e-11,0.0,4.94950598892575e-14
A1,40.0,15,O_III_5007,metal,9.901891475554805e+19,-0.0,0.0,7.331112526978941e-22
A1,40.0,16,Ne_III_3869,metal,2821469878.6943607,-0.0,0.0,2.0889456548028894e-32
A1,40.0,17,He_II_1640,He,480548242.62082183,-0.0,1.1227220629916331e-30,3.557858869684118e-33
A1,40.0,18,He_II_4686,He,596342.7192215174,-0.0,3.955213655894677e-30,4.415172182052819e-36
A1,40.0,19,He_II_3203,He,83554.15393392461,-0.0,1e-30,6.186140356095959e-37
A1,40.0,20,He_II_10124,He,16471.55461086566,-0.0,9.95953577631531e-30,1.2195126622488968e-37
A1,40.0,21,C_III_4647,metal,0.8564416252132365,-0.0,0.0,6.340879358986477e-42
A1,40.0,22,C_III_5696,metal,0.27951543826798825,-0.0,0.0,2.0694623204357456e-42
A1,40.0,23,C_IV_1549,metal,0.005996420186341739,-0.0,0.0,4.439599368832327e-44
A1,40.0,24,C_IV_5801,metal,8.111023516887327e-41,-0.0,0.0,6.005198729765087e-82
A1,50.0,1,Halpha,H,9.966562823534512e+40,-21.269565544653698,355.04904209084197,0.6072911742406691
A1,50.0,2,Hbeta,H,3.352357978090905e+40,-144.7004692379573,50.45250081404325,0.2042687583509267
A1,50.0,3,Hgamma,H,1.5844988733615916e+40,-128.2747366412699,16.86401142450563,0.09654804754900727
A1,50.0,4,Palpha,H,4.0501383383855833e+39,483.7023964468458,90.39367975206918,0.024678651114778842
A1,50.0,5,He_I_10830,He,3.720218801086348e+39,-182.31978452552556,1442.5739870118864,0.022668357026848367
A1,50.0,6,Pbeta,H,3.0322283055870776e+39,311.4184371496255,11.050127071849488,0.018476234192970512
A1,50.0,7,He_I_5876,He,1.747502478295574e+39,8.070504340856207,0.061044296326883324,0.01064803233394201
A1,50.0,8,He_I_7065,He,1.460869350832788e+39,8.463990988080504,0.008302450433994189,0.008901494719769634
A1,50.0,9,He_I_6678,He,9.196644924833686e+38,5.701117199004085,2.4902175780947605e-06,0.0056037787493683575
A1,50.0,10,O_I_6300,metal,8.38774705005828e+37,-0.8209952218009821,0.0,0.0005110894142196506
A1,50.0,11,O_I_7774,metal,6.636522706332912e+37,-0.8826580586600014,0.0,0.00040438230697616606
A1,50.0,12,C_II_4267,metal,6.48900493850009e+28,-5.631545877527567e-10,0.0,3.95393627525211e-13
A1,50.0,13,C_II_6580,metal,1.2022832858263082e+28,-1.2393495268599874e-10,0.0,7.325855877768454e-14
A1,50.0,14,C_III_1909,metal,8.977454091612282e+27,-1.4261817279502727e-09,0.0,5.470219506481239e-14
A1,50.0,15,O_III_5007,metal,1.0418170142603965e+20,-0.0,0.0,6.348088996540636e-22
A1,50.0,16,Ne_III_3869,metal,1540361611.3686905,-0.0,0.0,9.385863795634981e-33
A1,50.0,17,He_II_1640,He,386785200.03174406,-0.0,1.4039554438413925e-30,2.3567928328463476e-33
A1,50.0,18,He_II_4686,He,464513.0337587149,-0.0,4.9472593700853106e-30,2.830410751591333e-36
A1,50.0,19,He_II_3203,He,63782.44921176285,-0.0,1e-30,3.886447029289944e-37
A1,50.0,20,He_II_10124,He,12573.834404895513,-0.0,1.2457584084653019e-29,7.661596877135543e-38
A1,50.0,21,C_III_4647,metal,0.7096722023635658,-0.0,0.0,4.324235674124723e-42
A1,50.0,22,C_III_5696,metal,0.23161454421469985,-0.0,0.0,1.4112936527648365e-42
A1,50.0,23,C_IV_1549,metal,0.004635236959717822,-0.0,0.0,2.8243824335343963e-44
A1,50.0,24,C_IV_5801,metal,2.565757659526278e-41,-0.0,0.0,1.5633895149803733e-82
A1,60.0,1,Halpha,H,1.0558850183901824e+41,-21.448077003423577,1264.0119148874965,0.6122641810419864
A1,60.0,2,Hbeta,H,3.551152430564336e+40,-215.9057533858338,182.4188268081233,0.20591668569837418
A1,60.0,3,Hgamma,H,1.6784950651920811e+40,8.02409572108946,60.9744437411678,0.09732900728525011
A1,60.0,4,Palpha,H,4.2908124747324505e+39,517.9562372299614,451.4838326381158,0.024880652155214154
A1,60.0,5,Pbeta,H,3.2123574746763206e+39,343.1502248047739,55.19139410142728,0.018627136328209584
A1,60.0,6,He_I_10830,He,3.132183443380325e+39,8.0349072126049,3854.8127381158647,0.018162240181779574
A1,60.0,7,He_I_5876,He,1.5429690014026546e+39,8.308655700684822,0.902106894182017,0.008947040970969341
A1,60.0,8,He_I_7065,He,1.313096172423303e+39,8.271546029265451,0.12269295743274189,0.007614103227488276
A1,60.0,9,He_I_6678,He,8.707422794849309e+38,4.963687992312858,2.3560005546452486e-05,0.0050490754141041105
A1,60.0,10,O_I_6300,metal,1.1755486476246205e+38,-1.1206986245953408,0.0,0.0006816521851121996
A1,60.0,11,O_I_7774,metal,9.109554671790474e+37,-1.1764434905447154,0.0,0.0005282255106985477
A1,60.0,12,C_II_4267,metal,1.0756701256919666e+29,-9.166552877703691e-10,0.0,6.237367488954667e-13
A1,60.0,13,C_II_6580,metal,1.993002356199575e+28,-1.9995777103019534e-10,0.0,1.1556598816921218e-13
A1,60.0,14,C_III_1909,metal,1.2802051616072293e+28,-2.0622428900353532e-09,0.0,7.423381818904895e-14
A1,60.0,15,O_III_5007,metal,7.70901682045123e+19,-0.0,0.0,4.470140960432019e-22
A1,60.0,16,Ne_III_3869,metal,625688352.1414158,-0.0,0.0,3.628108741380129e-33
A1,60.0,17,He_II_1640,He,377580108.7059417,-0.0,1.6860511250440576e-30,2.1894313491354018e-33
A1,60.0,18,He_II_4686,He,442245.4832788034,-0.0,5.9367616328316784e-30,2.5643991904727993e-36
A1,60.0,19,He_II_3203,He,59726.2430307082,-0.0,1e-30,3.463278542550369e-37
A1,60.0,20,He_II_10124,He,11774.209030470589,-0.0,1.4949227784863622e-29,6.827378288261983e-38
A1,60.0,21,C_III_4647,metal,0.49044382403008474,-0.0,0.0,2.8438814931259558e-42
A1,60.0,22,C_III_5696,metal,0.1600653405717704,-0.0,0.0,9.281529044497414e-43
A1,60.0,23,C_IV_1549,metal,0.003985756670054089,-0.0,0.0,2.311175933856769e-44
A1,60.0,24,C_IV_5801,metal,7.503932197194542e-42,-0.0,0.0,4.3512208444008246e-83
A1,70.0,1,Halpha,H,1.1798444345696044e+41,-23.034539632122396,2315.3785442751805,0.6158577945640678
A1,70.0,2,Hbeta,H,3.9692587024608653e+40,-353.22204310362,336.94087842101646,0.20718823930745672
A1,70.0,3,Hgamma,H,1.8760173601634847e+40,9.107251900590008,112.62424496386373,0.09792476704063548
A1,70.0,4,Palpha,H,4.794590636708036e+39,688.6369152076428,911.3240994068492,0.025026909725074792
A1,70.0,5,Pbeta,H,3.589676065123985e+39,277.459044457205,111.4043145863035,0.0187374701265013
A1,70.0,6,He_I_10830,He,2.847791564881053e+39,8.005502332268648,6743.4473691468975,0.01486496508470273
A1,70.0,7,He_I_5876,He,1.463745695360605e+39,7.596971587709785,3.583628212489029,0.007640491994830432
A1,70.0,8,He_I_7065,He,1.2672541363338355e+39,7.866269995502995,0.4873990655786359,0.00661484103062662
A1,70.0,9,He_I_6678,He,8.860569739514485e+38,4.05134837979966,0.00010866534166745131,0.004625059693017166
A1,70.0,10,O_I_6300,metal,1.5124235620954294e+38,-1.4307754868045797,0.0,0.000789458179491775
A1,70.0,11,O_I_7774,metal,1.39852134873932e+38,-1.7977270699688912,0.0,0.0007300032514876025
A1,70.0,12,C_II_4267,metal,3.093075112360994e+29,-2.594436031771995e-09,0.0,1.6145301544050886e-12
A1,70.0,13,C_II_6580,metal,5.7308517170839605e+28,-5.709562746327602e-10,0.0,2.991402591770088e-13
A1,70.0,14,C_III_1909,metal,3.7159896356750084e+28,-5.705568709496437e-09,0.0,1.9396804481978797e-13
A1,70.0,15,O_III_5007,metal,1.008146719482076e+20,-0.0,0.0,5.262346433695051e-22
A1,70.0,16,Ne_III_3869,metal,778426157.2848415,-0.0,0.0,4.063245987436513e-33
A1,70.0,17,He_II_1640,He,386941317.08137167,-0.0,1.969162841992969e-30,2.019764802724852e-33
A1,70.0,18,He_II_4686,He,546685.9901726941,-0.0,6.935487887735165e-30,2.853603562995547e-36
A1,70.0,19,He_II_3203,He,98842.21396469056,-0.0,1e-30,5.1593876377719064e-37
A1,70.0,20,He_II_10124,He,19485.385806979422,-0.0,1.7464098214050882e-29,1.0171024567059893e-37
A1,70.0,21,C_III_4647,metal,1.2508767044628657,-0.0,0.0,6.529353751311207e-42
A1,70.0,22,C_III_5696,metal,0.4082465634246837,-0.0,0.0,2.1309743964745802e-42
A1,70.0,23,C_IV_1549,metal,0.016727857719365906,-0.0,0.0,8.731643987106032e-44
A1,70.0,24,C_IV_5801,metal,2.314994717779451e-41,-0.0,0.0,1.2083860376382612e-82
A1,80.0,1,Halpha,H,1.0180777002135213e+41,-21.88381212449912,3468.567553712677,0.6145746431299669
A1,80.0,2,Hbeta,H,3.423634380144254e+40,-248.87044400870997,496.77051005073884,0.2066717380160033
A1,80.0,3,Hgamma,H,1.6182523724490018e+40,9.62922887186049,166.04813231695158,0.09768771814602004
A1,80.0,4,Palpha,H,4.137161399500765e+39,689.5530717887599,1263.4199213723296,0.024974464032912213
A1,80.0,5,Pbeta,H,3.0972764234202045e+39,309.48836768486944,154.44607388567673,0.01869707540199643
A1,80.0,6,He_I_10830,He,2.6760590876934852e+39,8.022757007488991,9724.960912785125,0.016154347143336887
A1,80.0,7,He_I_5876,He,1.2772144932714618e+39,6.991224605654974,8.45672145007661,0.007710056327116329
A1,80.0,8,He_I_7065,He,1.1119274070378831e+39,7.431236233148509,1.1501747264066347,0.006712281284850998
