model,epoch_d,rank,line,species,L_line,EW,tau,frac_epoch
A1,20.0,5,He_I_5876,He,3.7896349992089684e+39,-5.225303293373443,25193.389679844986,0.04514233641808767
A1,20.0,6,Palpha,H,1.7678653883231478e+39,-1046.9406697623933,170483.9526115387,0.0210589078151946
A1,20.0,7,He_I_7065,He,1.51074407742241e+39,-10.900152197026596,3424.358368387798,0.017996064897772838
A1,20.0,8,Pbeta,H,1.3250511381990365e+39,-3169.2729417337687,21005.45560372487,0.015784080594631565
A1,20.0,9,He_I_6678,He,8.913701174900002e+38,0.804070499615321,657.0612396511351,0.010618048895253272
A1,20.0,10,O_I_7774,metal,1.7458047283607752e+37,-0.2603182964414674,0.0,0.00020796120044384395
A1,20.0,11,O_I_6300,metal,2.9779924399353447e+36,-0.030658092996955353,0.0,3.5474006494594894e-05
A1,20.0,12,C_III_1909,metal,2.45809350787316e+29,-1.760934079865736e-08,0.0,2.9280942386981747e-12
A1,20.0,13,C_II_4267,metal,1.7922848827541903e+29,-1.380444888776415e-09,0.0,2.134979414936553e-12
A1,20.0,14,C_II_6580,metal,3.3207466759496873e+28,-3.6532196264754663e-10,0.0,3.955691343262818e-13
A1,20.0,15,O_III_5007,metal,1.5257283683936245e+21,-0.0,0.0,1.8174558579657842e-20
A1,20.0,16,Ne_III_3869,metal,2659113271247.544,-0.0,0.0,3.1675500645712464e-29
A1,20.0,17,He_II_1640,He,13160337698.743593,-1.720885370270243,3.34216261212803e-27,1.5676665217001963e-31
A1,20.0,18,He_II_4686,He,1789826480.2929206,-3.3139123965489903,1.9399606504909017e-30,2.132050952670903e-32
A1,20.0,19,He_II_3203,He,775522119.4117644,-0.2335715992186428,1e-30,9.2380612965264e-33
A1,20.0,20,He_II_10124,He,152883541.27703804,-4.871069231953455,4.8808332242537384e-30,1.8211569859781316e-33
A1,20.0,21,C_III_4647,metal,4659.531345787211,-0.0,0.0,5.550458859654213e-38
A1,20.0,22,C_IV_1549,metal,1516.364539523748,-0.0,0.0,1.8063016145335379e-38
A1,20.0,23,C_III_5696,metal,633.6348113222094,-0.0,0.0,7.547892033108546e-39
A1,20.0,24,C_IV_5801,metal,1.6180319502337761e-34,-0.0,0.0,1.9274083822825686e-75
A1,30.0,1,Halpha,H,7.005555403992058e+40,-609.4373439484967,508.3719670246079,0.5744912774125888
A1,30.0,2,Hbeta,H,2.3625594835906623e+40,5.401699332223497,73.34575572944138,0.1937419287152874
