         t-t0          tau          rho            T            r            v
   5.7209D+01   7.4802D+02   1.8578D-14   2.1281D+04   1.3377D+14   1.6990D-01
   5.9209D+01   6.9783D+02   1.7418D-14   2.0797D+04   1.3671D+14   1.6990D-01
   6.1209D+01   6.5102D+02   1.6331D-14   2.0277D+04   1.3965D+14   1.6990D-01
   6.3209D+01   6.0750D+02   1.5346D-14   1.9815D+04   1.4258D+14   1.6990D-01
   6.5209D+01   5.6648D+02   1.4421D-14   1.9364D+04   1.4552D+14   1.6990D-01
   6.7209D+01   5.2822D+02   1.3583D-14   1.8967D+04   1.4846D+14   1.6990D-01
   6.9209D+01   4.9230D+02   1.2823D-14   1.8535D+04   1.5140D+14   1.7000D-01
   7.1209D+01   4.5859D+02   1.2106D-14   1.7989D+04   1.5434D+14   1.7010D-01
   7.3209D+01   4.2679D+02   1.1429D-14   1.7539D+04   1.5728D+14   1.7000D-01
   7.5209D+01   3.9664D+02   1.0814D-14   1.7179D+04   1.6022D+14   1.7000D-01
   7.7209D+01   3.6819D+02   1.0233D-14   1.6827D+04   1.6316D+14   1.7000D-01
   7.9209D+01   3.4146D+02   9.7051D-15   1.6482D+04   1.6610D+14   1.7000D-01
   8.1209D+01   3.1619D+02   9.2045D-15   1.6144D+04   1.6904D+14   1.6990D-01
   8.3209D+01   2.9194D+02   8.7498D-15   1.5812D+04   1.7198D+14   1.6990D-01
   8.5209D+01   2.6856D+02   8.3176D-15   1.5488D+04   1.7492D+14   1.6990D-01
   8.7209D+01   2.4639D+02   7.9068D-15   1.5171D+04   1.7785D+14   1.6990D-01
   9.0209D+01   2.1503D+02   7.3451D-15   1.4723D+04   1.8226D+14   1.6980D-01
   9.3209D+01   1.8573D+02   6.8391D-15   1.4289D+04   1.8667D+14   1.6980D-01
   9.7209D+01   1.4951D+02   6.2373D-15   1.3677D+04   1.9254D+14   1.6980D-01
   1.0021D+02   1.2485D+02   5.8210D-15   1.3213D+04   1.9694D+14   1.6980D-01
   1.0321D+02   1.0186D+02   5.4450D-15   1.2706D+04   2.0135D+14   1.6980D-01
   1.0721D+02   7.3934D+01   5.0003D-15   1.1912D+04   2.0722D+14   1.6980D-01
   1.1021D+02   5.5073D+01   4.6881D-15   1.1143D+04   2.1163D+14   1.6980D-01
   1.1321D+02   3.7803D+01   4.4157D-15   1.0116D+04   2.1603D+14   1.6990D-01
   1.1721D+02   1.7255D+01   4.0738D-15   8.0538D+03   2.2191D+14   1.7000D-01
   1.2021D+02   4.3636D+00   3.8371D-15   5.1880D+03   2.2632D+14   1.7010D-01
   1.2321D+02   2.5039D+00   3.6224D-15   3.8815D+03   2.3073D+14   1.7010D-01
   1.2721D+02   2.3212D+00   3.3574D-15   3.6644D+03   2.3661D+14   1.7000D-01
   1.3021D+02   2.2403D+00   3.1769D-15   3.6058D+03   2.4102D+14   1.7000D-01
   1.3321D+02   2.1556D+00   3.0061D-15   3.5318D+03   2.4543D+14   1.7000D-01
   1.3721D+02   2.0494D+00   2.7990D-15   3.4435D+03   2.5132D+14   1.7000D-01
   1.4021D+02   1.9630D+00   2.6607D-15   3.3729D+03   2.5575D+14   1.7000D-01
   1.4321D+02   1.8640D+00   2.5235D-15   3.2659D+03   2.6019D+14   1.7000D-01
   1.4721D+02   1.7601D+00   2.3605D-15   3.1405D+03   2.6612D+14   1.6990D-01
   1.5021D+02   1.7060D+00   2.2439D-15   3.0903D+03   2.7058D+14   1.6990D-01
   1.5321D+02   1.6579D+00   2.1380D-15   3.0479D+03   2.7503D+14   1.6990D-01
