         t-t0          tau          rho            T            r            v
   8.1477D+01   5.7693D+02   5.8614D-13   2.2233D+04   7.2706D+13   6.3500D-02
   8.3477D+01   5.4439D+02   5.5976D-13   2.1677D+04   7.3802D+13   6.3300D-02
   8.5477D+01   5.1359D+02   5.3580D-13   2.1184D+04   7.4896D+13   6.3200D-02
   8.7477D+01   4.8466D+02   5.1286D-13   2.0701D+04   7.5988D+13   6.3100D-02
   8.9477D+01   4.5809D+02   4.9204D-13   2.0230D+04   7.7078D+13   6.3000D-02
   9.2477D+01   4.2093D+02   4.6132D-13   1.9543D+04   7.8708D+13   6.2800D-02
   9.5477D+01   3.8637D+02   4.3451D-13   1.8923D+04   8.0335D+13   6.2600D-02
   9.9477D+01   3.4369D+02   4.0087D-13   1.8113D+04   8.2496D+13   6.2400D-02
   1.0248D+02   3.1397D+02   3.7844D-13   1.7539D+04   8.4112D+13   6.2200D-02
   1.0548D+02   2.8579D+02   3.5727D-13   1.6982D+04   8.5725D+13   6.2100D-02
   1.0948D+02   2.4968D+02   3.3189D-13   1.6255D+04   8.7869D+13   6.1900D-02
   1.1248D+02   2.2364D+02   3.1405D-13   1.5704D+04   8.9473D+13   6.1800D-02
   1.1548D+02   1.9701D+02   2.9785D-13   1.5171D+04   9.1073D+13   6.1700D-02
   1.1948D+02   1.6075D+02   2.7797D-13   1.4355D+04   9.3203D+13   6.1500D-02
   1.2248D+02   1.3371D+02   2.6424D-13   1.3646D+04   9.4798D+13   6.1400D-02
   1.2548D+02   1.0663D+02   2.5119D-13   1.2823D+04   9.6390D+13   6.1400D-02
   1.2948D+02   7.0491D+01   2.3550D-13   1.1402D+04   9.8511D+13   6.1300D-02
   1.3248D+02   4.2498D+01   2.2439D-13   9.7724D+03   1.0010D+14   6.1200D-02
   1.3548D+02   1.7963D+01   2.1380D-13   7.3282D+03   1.0169D+14   6.1200D-02
   1.3948D+02   5.6804D+00   2.0137D-13   4.8084D+03   1.0380D+14   6.1100D-02
   1.4248D+02   4.9324D+00   1.9231D-13   4.6345D+03   1.0539D+14   6.1000D-02
   1.4548D+02   4.3859D+00   1.8408D-13   4.5290D+03   1.0697D+14   6.1000D-02
   1.4948D+02   3.6917D+00   1.7338D-13   4.3451D+03   1.0908D+14   6.0900D-02
   1.5248D+02   3.3745D+00   1.6596D-13   4.2462D+03   1.1065D+14   6.0800D-02
   1.5548D+02   3.1111D+00   1.5922D-13   4.1591D+03   1.1223D+14   6.0800D-02
