         t-t0          tau          rho            T            r            v
   4.5799D+01   1.0085D+03   2.4434D-14   2.3550D+04   1.2206D+14   1.7000D-01
   4.7799D+01   9.4331D+02   2.2751D-14   2.2961D+04   1.2500D+14   1.7000D-01
   4.9799D+01   8.8207D+02   2.1232D-14   2.2336D+04   1.2794D+14   1.7010D-01
   5.1799D+01   8.2479D+02   1.9861D-14   2.1777D+04   1.3088D+14   1.7010D-01
   5.3799D+01   7.7116D+02   1.8578D-14   2.1281D+04   1.3382D+14   1.7010D-01
   5.5799D+01   7.2087D+02   1.7378D-14   2.0749D+04   1.3676D+14   1.7010D-01
   5.7799D+01   6.7389D+02   1.6331D-14   2.0277D+04   1.3970D+14   1.7010D-01
   5.9799D+01   6.2964D+02   1.5311D-14   1.9770D+04   1.4265D+14   1.7010D-01
   6.1799D+01   5.8805D+02   1.4421D-14   1.9320D+04   1.4559D+14   1.7020D-01
   6.3799D+01   5.4903D+02   1.3583D-14   1.8923D+04   1.4853D+14   1.7020D-01
   6.5799D+01   5.1221D+02   1.2794D-14   1.8493D+04   1.5147D+14   1.7020D-01
   6.7799D+01   4.7751D+02   1.2078D-14   1.7989D+04   1.5442D+14   1.7020D-01
   6.9799D+01   4.4479D+02   1.1402D-14   1.7498D+04   1.5736D+14   1.7020D-01
   7.1799D+01   4.1380D+02   1.0789D-14   1.7140D+04   1.6031D+14   1.7020D-01
   7.3799D+01   3.8472D+02   1.0233D-14   1.6788D+04   1.6325D+14   1.7020D-01
   7.5799D+01   3.5682D+02   9.6828D-15   1.6444D+04   1.6619D+14   1.7010D-01
   7.7799D+01   3.3058D+02   9.1833D-15   1.6106D+04   1.6913D+14   1.7010D-01
   7.9799D+01   3.0565D+02   8.7297D-15   1.5776D+04   1.7208D+14   1.7010D-01
   8.1799D+01   2.8146D+02   8.2985D-15   1.5453D+04   1.7502D+14   1.7010D-01
   8.3799D+01   2.5864D+02   7.8886D-15   1.5171D+04   1.7796D+14   1.7010D-01
   8.6799D+01   2.2654D+02   7.3282D-15   1.4723D+04   1.8237D+14   1.7000D-01
   8.9799D+01   1.9624D+02   6.8234D-15   1.4289D+04   1.8678D+14   1.7000D-01
   9.3799D+01   1.5909D+02   6.2230D-15   1.3709D+04   1.9266D+14   1.7000D-01
   9.6799D+01   1.3394D+02   5.8076D-15   1.3243D+04   1.9707D+14   1.6990D-01
   9.9799D+01   1.1049D+02   5.4325D-15   1.2794D+04   2.0148D+14   1.6990D-01
   1.0380D+02   8.1780D+01   4.9888D-15   1.2050D+04   2.0735D+14   1.7000D-01
   1.0680D+02   6.2431D+01   4.6881D-15   1.1402D+04   2.1176D+14   1.7000D-01
   1.0980D+02   4.4779D+01   4.4055D-15   1.0520D+04   2.1617D+14   1.7000D-01
   1.1380D+02   2.3623D+01   4.0644D-15   8.7902D+03   2.2205D+14   1.7010D-01
   1.1680D+02   9.7334D+00   3.8282D-15   6.7298D+03   2.2647D+14   1.7020D-01
   1.1980D+02   2.6751D+00   3.6141D-15   3.9994D+03   2.3088D+14   1.7020D-01
   1.2380D+02   2.4340D+00   3.3497D-15   3.7584D+03   2.3677D+14   1.7020D-01
   1.2680D+02   2.3441D+00   3.1696D-15   3.6898D+03   2.4119D+14   1.7020D-01
   1.2980D+02   2.2559D+00   2.9992D-15   3.6224D+03   2.4560D+14   1.7020D-01
   1.3380D+02   2.1470D+00   2.7990D-15   3.5400D+03   2.5148D+14   1.7010D-01
   1.3680D+02   2.0693D+00   2.6546D-15   3.4834D+03   2.5590D+14   1.7010D-01
   1.3980D+02   1.9936D+00   2.5235D-15   3.4198D+03   2.6031D+14   1.7010D-01
   1.4380D+02   1.8917D+00   2.3605D-15   3.3113D+03   2.6619D+14   1.7010D-01
   1.4680D+02   1.8194D+00   2.2439D-15   3.2359D+03   2.7061D+14   1.7010D-01
   1.4980D+02   1.7515D+00   2.1380D-15   3.1696D+03   2.7502D+14   1.7010D-01
