model,epoch_d,L_metal_total,metal_frac_of_all,dominant_metal,dominant_metal_L,L_C,L_O,L_Ne,overall_rank_of_dominant_metal
A10,2.0,9.427254790175689e+37,0.001072860807502718,C_III_1909,6.080674468534579e+37,6.136896626715463e+37,3.275887907787054e+37,1.4470255673170017e+35,10
A10,3.0,6.672160441140189e+37,0.0007535611295623708,C_III_1909,3.364662504902503e+37,3.399791271455619e+37,3.267602798934334e+37,4.766370750235907e+34,10
A10,4.0,1.2890964449564424e+38,0.0014434727456452373,C_III_1909,8.57985537141717e+37,8.68201999931309e+37,3.950290189731622e+37,2.5865426051971144e+36,10
A10,5.0,6.488305133600595e+37,0.0007204454481038284,O_I_7774,3.2538946964163016e+37,2.915643341394011e+37,3.5085941618474967e+37,6.406763035908709e+35,10
A10,10.0,7.38794378608818e+38,0.007807011781738154,C_III_1909,5.4085291715239225e+38,5.659948861166428e+38,1.1806322696099618e+38,5.473626553117908e+37,9
A10,20.0,1.790195175356872e+38,0.002145356813649597,O_III_5007,7.05543474031065e+37,7.601153846626092e+37,7.124728579676761e+37,3.176069327265867e+37,10
A10,30.0,1.54863869430316e+38,0.002148349678773276,O_III_5007,5.31099849859308e+37,8.050983120191974e+37,5.317245730518354e+37,2.1181580923212762e+37,10
A10,40.0,1.7448913628337007e+38,0.0022849460538864885,C_IV_5801,5.501673495022056e+37,1.083595618658859e+38,4.708352421018468e+37,1.9046050207299427e+37,10
A10,50.0,2.262318406678373e+38,0.0009081522910125065,O_III_5007,6.274978494994804e+37,1.3257405659739107e+38,6.284287566774034e+37,3.0814908402705934e+37,10
A10,60.0,1.8103031221594843e+39,0.0009308751582861635,C_III_4647,8.532146299240257e+38,1.4916146757226003e+39,2.7590574424042807e+38,4.278270219645601e+37,10
A10,70.0,1.1442759253024658e+40,0.02327033130142018,C_II_4267,5.235795384081339e+39,1.0668084874776043e+40,6.4846806434155696e+38,1.262063139070581e+38,8
A10,80.0,2.8081621813389913e+40,0.06844740078545633,C_II_4267,1.456297613736198e+40,2.6963876322933926e+40,9.239527677013337e+38,1.9379272275465588e+38,5
