model,epoch_d,rank,line,species,L_line,EW,tau,frac_epoch
A1,20.0,11,O_I_6300,metal,2.9779924399353447e+36,-0.03065809299695645,0.0,3.5474003319685706e-05
A1,20.0,12,C_III_1909,metal,2.45809350787316e+29,-1.7609340733633326e-08,0.0,2.9280939766349283e-12
A1,20.0,13,C_II_4267,metal,1.7922848827541903e+29,-1.380445982585631e-09,0.0,2.1349792238567615e-12
A1,20.0,14,C_II_6580,metal,3.3207466759496873e+28,-3.653195530373706e-10,0.0,3.955690989230048e-13
A1,20.0,15,O_III_5007,metal,1.5257283683936245e+21,-0.0,0.0,1.8174556953042222e-20
A1,20.0,16,Ne_III_3869,metal,2659113271247.544,-0.0,0.0,3.167549781076801e-29
A1,20.0,17,He_II_1640,He,13160337698.743593,0.6969165959917794,3.34216261212803e-27,1.5676663813946788e-31
A1,20.0,18,He_II_4686,He,1789826480.2929206,3.1510738340481295,1.9399606504909017e-30,2.1320507618532077e-32
A1,20.0,19,He_II_3203,He,775522119.4117644,1.3556827595042338,1e-30,9.238060469723662e-33
A1,20.0,20,He_II_10124,He,152883541.27703804,-4.01152227993831,4.8808332242537384e-30,1.82115682298532e-33
A1,20.0,21,C_III_4647,metal,4659.531345787211,-0.0,0.0,5.550458362890397e-38
A1,20.0,22,C_IV_1549,metal,1516.364539523748,-0.0,0.0,1.8063014528702762e-38
A1,20.0,23,C_III_5696,metal,633.6348113222094,-0.0,0.0,7.547891357575272e-39
A1,20.0,24,C_IV_5801,metal,1.6180319502337761e-34,-0.0,0.0,1.9274082097803003e-75
A1,30.0,1,Halpha,H,7.005555341532903e+40,-10.608134067564386,518.3645158934999,0.5744912769034519
A1,30.0,2,Hbeta,H,2.3625594625268833e+40,-0.18580209882706633,74.32912738289141,0.1937419285435856
A1,30.0,3,Hgamma,H,1.1161536289625054e+40,-137.2255073350744,24.844901380566373,0.09153029164177359
A1,30.0,4,He_I_10830,He,6.742149118579884e+39,-80.1669232737699,2903.6776033939873,0.055289062285230804
A1,30.0,5,He_I_5876,He,2.87415474116927e+39,-50.15638677469633,1.4032049291773818,0.023569535129975092
A1,30.0,6,Palpha,H,2.8470848299214154e+39,-1296.27682139656,195.45409175596802,0.023347548048005366
A1,30.0,7,Pbeta,H,2.1323544513061245e+39,-1072.623484892935,23.89325397932415,0.017486394323073973
A1,30.0,8,He_I_7065,He,1.2612274171582227e+39,-31.889982756526987,0.19084588154317017,0.010342708236893696
A1,30.0,9,He_I_6678,He,1.1979433668421467e+39,-22.68973001116348,4.017240615231579e-05,0.009823746739891953
