         t-t0          tau          rho            T            r            v
   1.0403D+02   1.1942D+02   5.7544D-15   1.3152D+04   1.9772D+14   1.7060D-01
   1.0703D+02   9.6862D+01   5.3827D-15   1.2647D+04   2.0215D+14   1.7060D-01
   1.1103D+02   6.9345D+01   4.9431D-15   1.1803D+04   2.0805D+14   1.7060D-01
   1.1403D+02   5.0528D+01   4.6345D-15   1.0965D+04   2.1248D+14   1.7070D-01
   1.1703D+02   3.3515D+01   4.3551D-15   9.8175D+03   2.1691D+14   1.7080D-01
   1.2103D+02   1.3361D+01   4.0179D-15   7.4817D+03   2.2282D+14   1.7090D-01
   1.2403D+02   2.8345D+00   3.7844D-15   4.2267D+03   2.2728D+14   1.7090D-01
   1.2703D+02   2.3879D+00   3.5727D-15   3.7325D+03   2.3176D+14   1.7090D-01
   1.3103D+02   2.2480D+00   3.3113D-15   3.5975D+03   2.3775D+14   1.7090D-01
   1.3403D+02   2.1618D+00   3.1261D-15   3.5237D+03   2.4223D+14   1.7090D-01
   1.3703D+02   2.0820D+00   2.9580D-15   3.4514D+03   2.4672D+14   1.7080D-01
   1.4103D+02   1.9820D+00   2.7542D-15   3.3651D+03   2.5271D+14   1.7080D-01
   1.4403D+02   1.9138D+00   2.6122D-15   3.3037D+03   2.5720D+14   1.7080D-01
   1.4703D+02   1.8486D+00   2.4831D-15   3.2359D+03   2.6169D+14   1.7080D-01
   1.5103D+02   1.7727D+00   2.3174D-15   3.1769D+03   2.6769D+14   1.7080D-01
   1.5403D+02   1.7230D+00   2.2080D-15   3.1405D+03   2.7217D+14   1.7080D-01
   1.5703D+02   1.6694D+00   2.0989D-15   3.0903D+03   2.7666D+14   1.7080D-01
