         t-t0          tau          rho            T            r            v
   6.9117D+01   7.3899D+02   7.0632D-13   2.4604D+04   6.8331D+13   6.4100D-02
   7.1117D+01   6.9827D+02   6.7298D-13   2.3988D+04   6.9438D+13   6.3900D-02
   7.3117D+01   6.5911D+02   6.4121D-13   2.3388D+04   7.0542D+13   6.3800D-02
   7.5117D+01   6.2227D+02   6.1235D-13   2.2803D+04   7.1644D+13   6.3700D-02
   7.7117D+01   5.8708D+02   5.8479D-13   2.2284D+04   7.2744D+13   6.3500D-02
   7.9117D+01   5.5395D+02   5.5976D-13   2.1727D+04   7.3842D+13   6.3400D-02
   8.1117D+01   5.2249D+02   5.3580D-13   2.1232D+04   7.4937D+13   6.3300D-02
   8.3117D+01   4.9306D+02   5.1286D-13   2.0749D+04   7.6030D+13   6.3200D-02
   8.5117D+01   4.6599D+02   4.9091D-13   2.0277D+04   7.7121D+13   6.3000D-02
   8.8117D+01   4.2810D+02   4.6132D-13   1.9588D+04   7.8754D+13   6.2900D-02
   9.1117D+01   3.9313D+02   4.3351D-13   1.8967D+04   8.0382D+13   6.2700D-02
   9.5117D+01   3.5004D+02   3.9994D-13   1.8155D+04   8.2546D+13   6.2500D-02
   9.8117D+01   3.2006D+02   3.7757D-13   1.7579D+04   8.4165D+13   6.2300D-02
   1.0112D+02   2.9156D+02   3.5645D-13   1.7022D+04   8.5779D+13   6.2200D-02
   1.0512D+02   2.5538D+02   3.3113D-13   1.6331D+04   8.7925D+13   6.2000D-02
   1.0812D+02   2.2921D+02   3.1333D-13   1.5776D+04   8.9531D+13   6.1800D-02
   1.1112D+02   2.0304D+02   2.9717D-13   1.5241D+04   9.1133D+13   6.1700D-02
   1.1512D+02   1.6723D+02   2.7733D-13   1.4454D+04   9.3265D+13   6.1600D-02
   1.1812D+02   1.4017D+02   2.6363D-13   1.3772D+04   9.4861D+13   6.1500D-02
   1.2112D+02   1.1344D+02   2.5061D-13   1.3002D+04   9.6455D+13   6.1400D-02
   1.2512D+02   7.7594D+01   2.3496D-13   1.1722D+04   9.8578D+13   6.1300D-02
   1.2812D+02   5.0174D+01   2.2387D-13   1.0304D+04   1.0017D+14   6.1300D-02
   1.3112D+02   2.3634D+01   2.1380D-13   8.0353D+03   1.0176D+14   6.1200D-02
   1.3512D+02   6.0860D+00   2.0091D-13   4.9091D+03   1.0387D+14   6.1200D-02
   1.3812D+02   5.0943D+00   1.9187D-13   4.7206D+03   1.0546D+14   6.1100D-02
   1.4112D+02   4.4684D+00   1.8365D-13   4.6026D+03   1.0704D+14   6.1000D-02
   1.4512D+02   3.8587D+00   1.7298D-13   4.4361D+03   1.0915D+14   6.0900D-02
   1.4812D+02   3.5145D+00   1.6558D-13   4.3451D+03   1.1073D+14   6.0900D-02
   1.5112D+02   3.2299D+00   1.5885D-13   4.2560D+03   1.1231D+14   6.0800D-02
