         t-t0          tau          rho            T            r            v
   5.9928D+01   1.7440D+03   1.5668D-12   3.5237D+04   5.2435D+13   5.9700D-02
   6.1928D+01   1.6000D+03   1.4757D-12   3.4119D+04   5.3486D+13   5.9500D-02
   6.3928D+01   1.4710D+03   1.3900D-12   3.3037D+04   5.4534D+13   5.9400D-02
   6.5928D+01   1.3548D+03   1.3152D-12   3.1989D+04   5.5579D+13   5.9200D-02
   6.7928D+01   1.2506D+03   1.2417D-12   3.1046D+04   5.6619D+13   5.9000D-02
   6.9928D+01   1.1570D+03   1.1776D-12   3.0061D+04   5.7656D+13   5.8700D-02
   7.1928D+01   1.0729D+03   1.1143D-12   2.9174D+04   5.8689D+13   5.8500D-02
   7.3928D+01   9.9746D+02   1.0593D-12   2.8314D+04   5.9719D+13   5.8300D-02
   7.5928D+01   9.3011D+02   1.0069D-12   2.7479D+04   6.0745D+13   5.8100D-02
   7.7928D+01   8.6976D+02   9.5719D-13   2.6669D+04   6.1768D+13   5.8000D-02
   7.9928D+01   8.1600D+02   9.0991D-13   2.5882D+04   6.2788D+13   5.7800D-02
   8.1928D+01   7.6859D+02   8.6696D-13   2.5177D+04   6.3805D+13   5.7700D-02
   8.3928D+01   7.2601D+02   8.2794D-13   2.4491D+04   6.4821D+13   5.7500D-02
   8.5928D+01   6.8515D+02   7.9068D-13   2.3823D+04   6.5832D+13   5.7300D-02
   8.7928D+01   6.4609D+02   7.5509D-13   2.3174D+04   6.6840D+13   5.7100D-02
   8.9928D+01   6.0878D+02   7.2111D-13   2.2594D+04   6.7845D+13   5.7000D-02
   9.1928D+01   5.7329D+02   6.9024D-13   2.2029D+04   6.8848D+13   5.6800D-02
   9.3928D+01   5.4002D+02   6.6069D-13   2.1528D+04   6.9847D+13   5.6600D-02
   9.5928D+01   5.0862D+02   6.3387D-13   2.0989D+04   7.0844D+13   5.6500D-02
   9.7928D+01   4.7907D+02   6.0814D-13   2.0512D+04   7.1837D+13   5.6300D-02
   9.9928D+01   4.5202D+02   5.8345D-13   2.0045D+04   7.2828D+13   5.6200D-02
   1.0293D+02   4.1395D+02   5.4828D-13   1.9364D+04   7.4310D+13   5.5900D-02
   1.0593D+02   3.7859D+02   5.1761D-13   1.8836D+04   7.5786D+13   5.5700D-02
   1.0993D+02   3.3479D+02   4.7863D-13   1.7824D+04   7.7748D+13   5.5600D-02
   1.1293D+02   3.0383D+02   4.5290D-13   1.7219D+04   7.9214D+13   5.5400D-02
   1.1593D+02   2.7423D+02   4.2855D-13   1.6634D+04   8.0675D+13   5.5200D-02
   1.1993D+02   2.3639D+02   3.9902D-13   1.5849D+04   8.2617D+13   5.5000D-02
   1.2293D+02   2.0836D+02   3.7931D-13   1.5241D+04   8.4066D+13   5.4800D-02
   1.2593D+02   1.7989D+02   3.5975D-13   1.4622D+04   8.5513D+13   5.4700D-02
   1.2993D+02   1.4187D+02   3.3651D-13   1.3677D+04   8.7437D+13   5.4500D-02
   1.3293D+02   1.1394D+02   3.2063D-13   1.2912D+04   8.8876D+13   5.4400D-02
   1.3593D+02   8.6634D+01   3.0549D-13   1.1995D+04   9.0313D+13   5.4300D-02
   1.3993D+02   5.0098D+01   2.8708D-13   1.0233D+04   9.2224D+13   5.4200D-02
   1.4293D+02   2.3041D+01   2.7416D-13   7.9983D+03   9.3657D+13   5.4100D-02
   1.4593D+02   6.8322D+00   2.6182D-13   5.1642D+03   9.5085D+13   5.4000D-02
   1.4993D+02   4.8933D+00   2.4660D-13   4.6452D+03   9.6987D+13   5.3900D-02
   1.5293D+02   4.3284D+00   2.3605D-13   4.5082D+03   9.8415D+13   5.3800D-02
   1.5593D+02   3.8882D+00   2.2594D-13   4.3954D+03   9.9836D+13   5.3800D-02
   1.5993D+02   3.4186D+00   2.1380D-13   4.2560D+03   1.0173D+14   5.3700D-02
   1.6293D+02   3.1424D+00   2.0512D-13   4.1687D+03   1.0315D+14   5.3600D-02
   1.6593D+02   2.9146D+00   1.9679D-13   4.0832D+03   1.0457D+14   5.3500D-02
